model,experiment,k,seed,n_train_samples,best_epoch,best_val_macro_f1,test_accuracy,test_macro_f1,test_auc,trainable_params,total_clip_params,lora_rank,lora_alpha,lora_dropout,lora_layers,clip_lora_targets,biomed_lora_targets,head_lr,lora_lr,lr_min,accumulation_steps,use_eval_preprocess_for_train
unimedclip,fewshot_lora,32,1,96,63,0.560794432715615,0.5052631578947369,0.45826330532212883,0.6448023849038048,198147,196100097,8,12,0.1,4,"['q', 'k', 'v', 'o']","['qkv', 'proj']",0.001,0.0001,1e-07,4,False
unimedclip,fewshot_lora,32,2,96,55,0.6413641036829874,0.5894736842105263,0.5851321644449031,0.8386732435921077,198147,196100097,8,12,0.1,4,"['q', 'k', 'v', 'o']","['qkv', 'proj']",0.001,0.0001,1e-07,4,False
unimedclip,fewshot_lora,32,3,96,24,0.5727395411605939,0.49473684210526314,0.46398770311813786,0.6827547278054378,198147,196100097,8,12,0.1,4,"['q', 'k', 'v', 'o']","['qkv', 'proj']",0.001,0.0001,1e-07,4,False
unimedclip,fewshot_lora,32,4,96,30,0.5931731104144897,0.5473684210526316,0.548105576841209,0.8108712889544533,198147,196100097,8,12,0.1,4,"['q', 'k', 'v', 'o']","['qkv', 'proj']",0.001,0.0001,1e-07,4,False
unimedclip,fewshot_lora,32,5,96,77,0.7510230565138345,0.7263157894736842,0.7196997662113942,0.8717164546069212,198147,196100097,8,12,0.1,4,"['q', 'k', 'v', 'o']","['qkv', 'proj']",0.001,0.0001,1e-07,4,False
unimedclip,fewshot_lora,32,6,96,45,0.7876550425352296,0.6736842105263158,0.670894465012112,0.8628400127030957,198147,196100097,8,12,0.1,4,"['q', 'k', 'v', 'o']","['qkv', 'proj']",0.001,0.0001,1e-07,4,False
unimedclip,fewshot_lora,32,7,96,26,0.5537416358145274,0.5578947368421052,0.5579559306141585,0.7521807322720102,198147,196100097,8,12,0.1,4,"['q', 'k', 'v', 'o']","['qkv', 'proj']",0.001,0.0001,1e-07,4,False
unimedclip,fewshot_lora,32,8,96,56,0.6159022394487511,0.631578947368421,0.6241315185326525,0.8533377384391584,198147,196100097,8,12,0.1,4,"['q', 'k', 'v', 'o']","['qkv', 'proj']",0.001,0.0001,1e-07,4,False
unimedclip,fewshot_lora,32,9,96,26,0.6430159127848337,0.6210526315789474,0.5989676826080658,0.7980530968918392,198147,196100097,8,12,0.1,4,"['q', 'k', 'v', 'o']","['qkv', 'proj']",0.001,0.0001,1e-07,4,False
unimedclip,fewshot_lora,32,10,96,19,0.5451887293992557,0.5157894736842106,0.5109896583915672,0.773008533611982,198147,196100097,8,12,0.1,4,"['q', 'k', 'v', 'o']","['qkv', 'proj']",0.001,0.0001,1e-07,4,False
